"id","country_id/id","code","name"
"__export__.res_country_state_94","base.hu","BAK","Bacs-Kiskun"
"__export__.res_country_state_95","base.hu","BAR","Baranya"
"__export__.res_country_state_96","base.hu","BAZ","Borsod-Abaúj-Zemplén"
"__export__.res_country_state_97","base.hu","BEK","Békés"
"__export__.res_country_state_98","base.hu","BUD","Budapest"
"__export__.res_country_state_99","base.hu","CSO","Csongrád"
"__export__.res_country_state_100","base.hu","FEJ","Fejér"
"__export__.res_country_state_101","base.hu","GMS","Győr-Moson-Sopron"
"__export__.res_country_state_102","base.hu","HAB","Hajdú-Bihar"
"__export__.res_country_state_103","base.hu","HEV","Heves"
"__export__.res_country_state_104","base.hu","JNS","Jász-Nagykun-Szolnok"
"__export__.res_country_state_105","base.hu","KOE","Komárom-Esztergom"
"__export__.res_country_state_106","base.hu","NOG","Nógrád"
"__export__.res_country_state_107","base.hu","PES","Pest"
"__export__.res_country_state_108","base.hu","SOM","Somogy"
"__export__.res_country_state_109","base.hu","SSB","Szabolcs-Szatmár-Bereg"
"__export__.res_country_state_110","base.hu","TOL","Tolna"
"__export__.res_country_state_111","base.hu","VAS","Vas"
"__export__.res_country_state_112","base.hu","VES","Veszprém"
"__export__.res_country_state_113","base.hu","ZAL","Zala"
