"id","position_id","tax_dest_id/id","tax_src_id/id"
"fpt_1","EVA-s Szállító","27L-EVA-S80","27L-S66"
"fpt_2","EVA-s Szállító","27L-EVA-S80","5L-S64"
"fpt_3","EVA-s Szállító","27L-EVA-S80","18L-S65"
"fpt_4","EU-s Szolgáltatás","27L-EU-SZ","27L-S66"
"fpt_5","EU-s Szolgáltatás","27L-EU-SZ","27L-IMP-SZ"
"fpt_6","Alanyi - tárgyi mentes",,"27L-S66"
"fpt_7","Alanyi - tárgyi mentes",,"18L-S65"
"fpt_8","Alanyi - tárgyi mentes",,"5L-S64"
"fpt_9","Normál Partner","27L-S66","27L-IMP-T-ONA"
"fpt_10","Normál Partner","27L-S66","27L-EU-SZ"
"fpt_11","Normál Partner","27L-S66","27L-EU-T"
"fpt_12","Normál Partner","27L-S66","27L-EVA-S80"
"fpt_13","Normál Partner","27L-S66","27L-IMP-SZ"
"fpt_14","Normál Partner","27L-S66","27L-IMP-T-KIV-S70"
"fpt_15","Normál Partner","5L-S64","5L-EU-T"
"fpt_16","Normál Partner","5L-S64","5L-IMP-T-ONA"
"fpt_17","Normál Partner","5L-S64","5L-IMP-T-KIV-S70"
"fpt_18","Normál Partner","18L-S65","18L-EU-T"
"fpt_19","Normál Partner","18L-S65","18L-IMP-T-ONA"
"fpt_20","Normál Partner","18L-S65","18L-IMP-T-KIV-S70"
"fpt_21","EU-s Termék","27L-EU-T","27L-S66"
"fpt_22","EU-s Termék","5L-EU-T","5L-S64"
"fpt_23","EU-s Termék","18L-EU-T","18L-S65"
"fpt_24","EU-s Termék","5L-EU-T","5L-IMP-T-KIV-S70"
"fpt_25","EU-s Termék","5L-EU-T","5L-IMP-T-ONA"
"fpt_26","EU-s Termék","18L-EU-T","18L-IMP-T-ONA"
"fpt_27","EU-s Termék","18L-EU-T","18L-IMP-T-KIV-S70"
"fpt_28","EU-s Termék","27L-EU-T","27L-IMP-T-ONA"
"fpt_29","EU-s Termék","27L-EU-T","27L-IMP-T-KIV-S70"
"fpt_30","EU-s Termék","0F-EU-T-S02","18F-S06"
"fpt_31","EU-s Termék","0F-EXP-T-ELO-S01","18F-ELO-S06"
"fpt_32","EU-s Termék","0F-EU-T-S02","5F-S05"
"fpt_33","EU-s Termék","0F-EU-T-ELO-S02","5F-ELO-S05"
"fpt_34","EU-s Termék","0F-EU-T-S02","27F-S07"
"fpt_35","EU-s Termék","0F-EU-T-ELO-S02","27F-ELO-S07"
"fpt_36","Import/Export termék (Nem-EU) - Önadózó ","5L-IMP-T-ONA","5L-EU-T"
"fpt_37","Import/Export termék (Nem-EU) - Önadózó ","5L-IMP-T-ONA","5L-IMP-T-KIV-S70"
"fpt_38","Import/Export termék (Nem-EU) - Önadózó ","5L-IMP-T-ONA","5L-S64"
"fpt_39","Import/Export termék (Nem-EU) - Önadózó ","18L-IMP-T-ONA","18L-EU-T"
"fpt_40","Import/Export termék (Nem-EU) - Önadózó ","18L-IMP-T-ONA","18L-IMP-T-KIV-S70"
"fpt_41","Import/Export termék (Nem-EU) - Önadózó ","18L-IMP-T-ONA","18L-S65"
"fpt_42","Import/Export termék (Nem-EU) - Önadózó ","27L-IMP-T-ONA","27L-EU-T"
"fpt_43","Import/Export termék (Nem-EU) - Önadózó ","27L-IMP-T-ONA","27L-IMP-T-KIV-S70"
"fpt_44","Import/Export termék (Nem-EU) - Önadózó ","27L-IMP-T-ONA","27L-S66"
"fpt_45","Import/Export termék (Nem-EU) - Önadózó ","0F-EXP-T-S01","0F-EU-T-S02"
"fpt_46","Import/Export termék (Nem-EU) - Önadózó ","0F-EXP-T-ELO-S01","0F-EU-T-ELO-S02"
"fpt_47","Import/Export termék (Nem-EU) - Önadózó ","0F-EXP-T-S01","5F-S05"
"fpt_48","Import/Export termék (Nem-EU) - Önadózó ","0F-EXP-T-ELO-S01","5F-ELO-S05"
"fpt_49","Import/Export termék (Nem-EU) - Önadózó ","0F-EXP-T-S01","18F-S06"
"fpt_50","Import/Export termék (Nem-EU) - Önadózó ","0F-EXP-T-ELO-S01","18F-ELO-S06"
"fpt_51","Import/Export termék (Nem-EU) - Önadózó ","0F-EXP-T-S01","27F-S07"
"fpt_52","Import/Export termék (Nem-EU) - Önadózó ","0F-EXP-T-ELO-S01","27F-ELO-S07"
"fpt_53","Import/Export szolgáltatás (nem-EU)","27L-IMP-SZ","27L-EU-SZ"
"fpt_54","Import/Export szolgáltatás (nem-EU)","27L-IMP-SZ","27L-S66"
"fpt_55","Import/Export szolgáltatás (nem-EU)","27L-IMP-SZ","27L-IMP-T-KIV-S70"
"fpt_56","Import/Export szolgáltatás (nem-EU)","27L-IMP-SZ","27L-IMP-T-ONA"
"fpt_57","Import/Export szolgáltatás (nem-EU)","0F-EXP-SZ-S93","27F-S07"
"fpt_58","Import/Export szolgáltatás (nem-EU)","0F-EXP-SZ-ELO-S93","27F-ELO-S07"
