id,description,name,parent_id,amount,account_collected_id,account_paid_id,base_code_id,tax_code_id,ref_base_code_id,ref_tax_code_id,base_sign,tax_sign,ref_base_sign,ref_tax_sign,type_tax_use,applicable_type,sequence,child_depend,include_base_amount,price_include,chart_template_id
0F-EU-EXP-SZ-ELO-S91,0F-EXP-SzolgElőleg-S91,ÁFA 0% Fiz. Export szolgáltatás előleg (EU),,0,,,alap-0F-EU-EXP-SZ-ELO-S91,,alap-0F-EU-EXP-SZ-ELO-S91,,1,1,-1,-1,sale,true,123,0,0,0,Hungarian Chart of Accounts
0F-EU-EXP-SZ-ELO-S92,0F-EU-s-SzolgElőleg-S92,ÁFA 0% Fiz. 92 Export szolgáltatás előleg (EU),,0,,,alap-0F-EU-EXP-SZ-ELO-S92,,alap-0F-EU-EXP-SZ-ELO-S92,,1,1,-1,-1,sale,true,121,0,0,0,Hungarian Chart of Accounts
0F-EU-EXP-SZ-S91,0F-EXP-Szolg-S91,ÁFA 0% Fiz. Export Szolgáltatás (EU),,0,,,alap-0F-EU-EXP-SZ-S91,,alap-0F-EU-EXP-SZ-S91,,1,1,-1,-1,sale,true,122,0,0,0,Hungarian Chart of Accounts
0F-EU-EXP-SZ-S92,0F-EU-s-Szolg-S92,ÁFA 0% Fiz. 92 Export Szolgáltatás (EU),,0,,,alap-0F-EU-EXP-SZ-S92,,alap-0F-EU-EXP-SZ-S92,,1,1,-1,-1,sale,true,120,0,0,0,Hungarian Chart of Accounts
0F-EU-T-ELO-S02,0F-EU-s-TermékElőleg,ÁFA 0% Fiz. EU Termék Előleg,,0,,,alap-0F-EU-T-ELO-S02,,alap-0F-EU-T-ELO-S02,,1,1,-1,-1,sale,true,111,0,0,0,Hungarian Chart of Accounts
0F-EU-T-S02,0F-EU-s-Termék,ÁFA 0% Fiz. EU Termék értékesítés,,0,,,alap-0F-EU-T-S02,,alap-0F-EU-T-S02,,1,1,-1,-1,sale,true,110,0,0,0,Hungarian Chart of Accounts
0F-EXP-SZ-ELO-S93,0F-EU-s-SzolgElőleg-S93,ÁFA 0% Fiz. Export Szolgáltatás (Nem-EU) Előleg,,0,,,alap-0F-EXP-SZ-ELO-S93,,alap-0F-EXP-SZ-ELO-S93,,1,1,-1,-1,sale,true,171,0,0,0,Hungarian Chart of Accounts
0F-EXP-SZ-S93,0F-EU-s-Szolg-S93,ÁFA 0% Fiz. Export Szolgáltatás (Nem-EU),,0,,,alap-0F-EXP-SZ-S93,,alap-0F-EXP-SZ-S93,,1,1,-1,-1,sale,true,170,0,0,0,Hungarian Chart of Accounts
0F-EXP-T-ELO-S01,0F-EXP-TermékElőleg,ÁFA 0% Fiz. Export Termék (Nem-EU) Előleg - S46,,0,,,alap-0F-EXP-T-ELO-S01,,alap-0F-EXP-T-ELO-S01,,1,1,-1,-1,sale,true,151,0,0,0,Hungarian Chart of Accounts
0F-EXP-T-S01,0F-EXP-Termék,ÁFA 0% Fiz. Export Termék (Nem-EU),,0,,,alap-0F-EXP-T-S01,,alap-0F-EXP-T-S01,,1,1,-1,-1,sale,true,150,0,0,0,Hungarian Chart of Accounts
0F-TAM-S04,0F-TAM-Fordított,ÁFA 0% Fiz. Belföldi adómentes (Fordított),,0,,,alap-0F-TAM-S04,,alap-0F-TAM-S04,,1,1,-1,-1,sale,true,40,0,0,0,Hungarian Chart of Accounts
0L-MABB-S63,0L-MABB-S63,ÁFA 0% Mentes Adómentes belföldi beszerzés,,0,,,alap-0L-MABB-S63,,alap-0L-MABB-S63,,1,1,-1,-1,purchase,true,50,0,0,0,Hungarian Chart of Accounts
18F-ELO-S06,18F-Előleg,ÁFA 18% Fiz. Előleg - S45,,0.18,Fizetendő belföldi áfa,Fizetendő belföldi áfa,alap-18F-ELO-S06,ado-18F-ELO-S06,alap-18F-ELO-S06,ado-18F-ELO-S06,1,1,-1,-1,sale,true,31,0,0,0,Hungarian Chart of Accounts
18F-S06,18F-Nomál,ÁFA 18% Fiz.,,0.18,Fizetendő belföldi áfa,Fizetendő belföldi áfa,alap-18F-S06,ado-18F-S06,alap-18F-S06,ado-18F-S06,1,1,-1,-1,sale,true,30,0,0,0,Hungarian Chart of Accounts
18L-ARANY-S68,18L-Arányosítás,ÁFA 18 % Lev. (arányosítás),,0.18,Levonható belföldi áfa,Levonható belföldi áfa,alap-18L-ARANY-S68,ado-18L-ARANY-S68,alap-18L-ARANY-S68,ado-18L-ARANY-S68,1,1,-1,-1,purchase,true,1,0,0,0,Hungarian Chart of Accounts
18L-EU-T,18L-EU-s-Termék,ÁFA 18% Lev. EU-s Termék,,1,,,,,,,1,1,1,1,purchase,true,330,1,0,0,Hungarian Chart of Accounts
18L-IMP-T-KIV-S70,18L-Import-Termék-KIV,ÁFA 18% Lev. Import termék (Nem-EU) kivetett ,,0.18,Levonható import utáni ÁFA,Levonható import utáni ÁFA,alap-18L-IMP-T-KIV-S70,ado-18L-IMP-T-KIV-S70,alap-18L-IMP-T-KIV-S70,ado-18L-IMP-T-KIV-S70,1,1,-1,-1,purchase,true,430,0,0,0,Hungarian Chart of Accounts
18L-IMP-T-ONA,18L-Import-Termék-ONA,ÁFA 18% Lev. termék import (önadózó),,1,,,,,,,1,1,1,1,purchase,true,431,1,0,0,Hungarian Chart of Accounts
18L-S65,18L-Normál,ÁFA 18% Lev.,,0.18,Levonható belföldi áfa,Levonható belföldi áfa,alap-18L-S65,ado-18L-S65,alap-18L-S65,ado-18L-S65,1,1,-1,-1,purchase,true,270,0,0,0,Hungarian Chart of Accounts
27F-ELO-S07,27F-Előleg,ÁFA 27% Fiz. Előleg - S45,,0.27,Fizetendő belföldi áfa,Fizetendő belföldi áfa,alap-27F-ELO-S07,ado-27F-ELO-S07,alap-27F-ELO-S07,ado-27F-ELO-S07,1,1,-1,-1,sale,true,11,0,0,0,Hungarian Chart of Accounts
27F-S07,27F-Normál,ÁFA 27% Fiz.,,0.27,Fizetendő belföldi áfa,Fizetendő belföldi áfa,alap-27F-S07,ado-27F-S07,alap-27F-S07,ado-27F-S07,1,1,-1,-1,sale,true,0,0,0,0,Hungarian Chart of Accounts
27L-EU-SZ,27L-EU-s-Szolg,ÁFA 27% Lev. Import Szolgáltatás (EU-s),,1,,,,,,,1,1,1,1,purchase,true,350,1,0,0,Hungarian Chart of Accounts
27L-EU-T,27L-EU-s-Termék,ÁFA 27% Lev. EU-s Termék,,1,,,,,,,1,1,1,1,purchase,true,310,1,0,0,Hungarian Chart of Accounts
27L-EVA-S80,27L-EVA-s,ÁFA 27% Lev. EVA,,0.27,Levonható belföldi áfa,Levonható belföldi áfa,alap-27L-EVA-S66-[S80],ado-27L-EVA-S66 - [S80],alap-27L-EVA-S66-[S80],ado-27L-EVA-S66 - [S80],1,1,-1,-1,purchase,true,215,0,0,0,Hungarian Chart of Accounts
