"id","country_id/id","code","name"
"hu_bk","base.hu","BK","Bács-Kiskun"
"hu_ba","base.hu","BA","Baranya"
"hu_be","base.hu","BE","Békés"
"hu_bz","base.hu","BZ","Borsod-Abaúj-Zemplén"
"hu_bu","base.hu","BU","Budapest"
"hu_cs","base.hu","CS","Csongrád"
"hu_fe","base.hu","FE","Fejér"
"hu_gs","base.hu","GS","Győr-Moson-Sopron"
"hu_hb","base.hu","HB","Hajdú-Bihar"
"hu_he","base.hu","HE","Heves"
"hu_jn","base.hu","JN","Jász-Nagykun-Szolnok"
"hu_ke","base.hu","KE","Komárom-Esztergom"
"hu_no","base.hu","NO","Nógrád"
"hu_pe","base.hu","PE","Pest"
"hu_so","base.hu","SO","Somogy"
"hu_sz","base.hu","SZ","Szabolcs-Szatmár-Bereg"
"hu_to","base.hu","TO","Tolna"
"hu_va","base.hu","VA","Vas"
"hu_ve","base.hu","VE","Veszprém"
"hu_za","base.hu","ZA","Zala"
